task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
130	6d/fbd960	876660	OPENCOBRA_JEWELER:JEWELER:MEMOTE_REPORT_SNAPSHOT (MODEL2210190009)	COMPLETED	0	2023-11-22 11:01:04.587	4m 28s	4m 25s	547.8%	19.6 GB	297.6 GB	149.7 MB	4.2 MB
84	98/4649bc	125124	OPENCOBRA_JEWELER:JEWELER:MEMOTE_REPORT_SNAPSHOT (MODEL1909260004)	COMPLETED	0	2023-11-22 10:38:08.207	27m 28s	27m 26s	712.3%	33.6 GB	311.6 GB	150.8 MB	5.5 MB
131	6f/6be866	996814	OPENCOBRA_JEWELER:JEWELER:MEMOTE_REPORT_SNAPSHOT (MODEL1011300000)	COMPLETED	0	2023-11-22 11:04:34.950	3m 23s	3m 21s	596.0%	13.5 GB	239.5 GB	149.4 MB	4 MB
129	63/ce5d19	794244	OPENCOBRA_JEWELER:JEWELER:MEMOTE_REPORT_SNAPSHOT (MODEL2204300001)	COMPLETED	0	2023-11-22 10:58:26.432	10m 8s	10m 5s	600.6%	20 GB	297.9 GB	149.9 MB	5.6 MB
122	ac/f0fa5a	516367	OPENCOBRA_JEWELER:JEWELER:MEMOTE_REPORT_SNAPSHOT (MODEL2204190001)	COMPLETED	0	2023-11-22 10:50:13.960	18m 40s	18m 38s	627.8%	26.2 GB	304.2 GB	150.1 MB	5 MB
133	af/fa7d75	1029590	OPENCOBRA_JEWELER:JEWELER:MEMOTE_REPORT_SNAPSHOT (MODEL2210190012)	COMPLETED	0	2023-11-22 11:05:36.096	4m 47s	4m 45s	631.2%	19.3 GB	297.3 GB	149.7 MB	4.2 MB
135	df/962910	1126448	OPENCOBRA_JEWELER:JEWELER:MEMOTE_REPORT_SNAPSHOT (MODEL2204260001)	COMPLETED	0	2023-11-22 11:08:34.021	9m 11s	9m 9s	563.2%	43.4 GB	321.3 GB	150.6 MB	5 MB
127	0d/81cb4e	685772	OPENCOBRA_JEWELER:JEWELER:MEMOTE_REPORT_SNAPSHOT (MODEL2204040001)	COMPLETED	0	2023-11-22 10:55:01.774	26m 57s	26m 53s	590.2%	35.2 GB	313.1 GB	150.8 MB	4.8 MB
104	c8/69a4c3	185208	OPENCOBRA_JEWELER:JEWELER:MEMOTE_REPORT_SNAPSHOT (MODEL1909260005)	COMPLETED	0	2023-11-22 10:40:08.006	47m 48s	47m 47s	694.3%	41.7 GB	319.6 GB	151.3 MB	6.1 MB
117	92/a54a5a	299342	OPENCOBRA_JEWELER:JEWELER:MEMOTE_REPORT_SNAPSHOT (MODEL1909260003)	COMPLETED	0	2023-11-22 10:43:25.877	47m 2s	47m 1s	697.5%	41 GB	318.9 GB	151.2 MB	6.1 MB
120	5f/a70e61	457861	OPENCOBRA_JEWELER:JEWELER:MEMOTE_REPORT_SNAPSHOT (MODEL1909260006)	COMPLETED	0	2023-11-22 10:48:30.144	50m 12s	50m 10s	692.7%	40.7 GB	318.6 GB	151.3 MB	6.2 MB
134	1d/771f6c	1102610	OPENCOBRA_JEWELER:JEWELER:MEMOTE_REPORT_SNAPSHOT (MODEL2204280003)	COMPLETED	0	2023-11-22 11:07:57.745	38m 43s	38m 40s	708.1%	39.2 GB	317.2 GB	150.9 MB	5.3 MB
132	73/0119d2	1026289	OPENCOBRA_JEWELER:JEWELER:MEMOTE_REPORT_SNAPSHOT (MODEL2205040003)	COMPLETED	0	2023-11-22 11:05:32.126	1h 15m 26s	1h 15m 24s	799.4%	85.6 GB	363.5 GB	153.4 MB	8.4 MB
136	77/647504	1136047	OPENCOBRA_JEWELER:JEWELER:MEMOTE_REPORT_SNAPSHOT (MODEL2205040002)	COMPLETED	0	2023-11-22 11:08:54.078	1h 12m 52s	1h 12m 49s	802.2%	83.8 GB	361.7 GB	153.4 MB	8.3 MB
137	97/c86cee	1182571	OPENCOBRA_JEWELER:JEWELER:MEMOTE_REPORT_SNAPSHOT (MODEL2205040004)	COMPLETED	0	2023-11-22 11:10:22.796	1h 12m 48s	1h 12m 47s	788.1%	83.4 GB	361.3 GB	153.4 MB	8.3 MB
128	93/97598e	755416	OPENCOBRA_JEWELER:JEWELER:MEMOTE_REPORT_SNAPSHOT (MODEL2205110002)	COMPLETED	0	2023-11-22 10:57:05.034	1h 27m 48s	1h 27m 46s	788.9%	39.7 GB	317.6 GB	152.2 MB	11 MB
138	43/4c718a	1393093	OPENCOBRA_JEWELER:JEWELER:MEMOTE_REPORT_SNAPSHOT (MODEL2205040001)	COMPLETED	0	2023-11-22 11:17:45.520	1h 9m 38s	1h 9m 36s	877.6%	85.2 GB	363.1 GB	153.4 MB	8.3 MB
139	33/533c82	1482178	OPENCOBRA_JEWELER:JEWELER:MEMOTE_REPORT_SNAPSHOT (MODEL2205040005)	COMPLETED	0	2023-11-22 11:21:58.283	1h 28m 12s	1h 28m 9s	1444.8%	100 GB	377.9 GB	154.6 MB	9.7 MB
140	69/c8fb8c	1630392	OPENCOBRA_JEWELER:JEWELER:MEMOTE_REPORT_SNAPSHOT (MODEL2204280001)	COMPLETED	0	2023-11-22 11:27:56.250	1h 50m 34s	1h 50m 33s	2393.1%	110.3 GB	388.2 GB	155 MB	9.7 MB
